iter	Passed	Remaining
0	1	107
1	2	101
2	5	166
3	5	139
4	6	125
5	7	114
6	7	106
7	8	99
8	9	94
9	10	90
10	10	86
11	11	83
12	11	80
13	12	77
14	13	75
15	13	73
16	14	71
17	15	69
18	15	67
19	16	66
20	17	64
21	20	71
22	20	70
23	21	68
24	22	66
25	22	65
26	23	63
27	24	62
28	24	60
29	25	59
30	26	58
31	26	57
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	44	38
54	45	36
55	45	36
56	46	35
57	47	34
58	50	34
59	51	34
60	51	33
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	22
72	59	22
73	60	21
74	60	20
75	61	19
76	62	18
77	65	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	80	2
97	80	1
98	81	0
99	82	0
